date	open	high	low	close	adjClose	volume	unadjustedVolume	change	changePercent	vwap	label	changeOverTime
2022-01-07	281.41	284.22	270.57	272.47	272.08	40993851	40993851	-8.94	-3.18	277.1675	January 07, 22	-0.0318
2022-01-10	265.81	274.69	256.44	274.0	273.61	59468095	59468095	8.19	3.08	267.735	January 10, 22	0.0308
2022-01-11	273.23	280.65	268.39	278.17	277.77	40408929	40408929	4.94	1.81	275.11	January 11, 22	0.0181
2022-01-12	280.67	285.95	276.08	279.99	279.59	38341348	38341348	-0.675	-0.24228	280.6725	January 12, 22	-0.0024228
2022-01-13	283.79	284.8	264.98	265.75	265.37	53886809	53886809	-18.04	-6.36	274.83	January 13, 22	-0.0636
2022-01-14	263.0	271.97	262.1	269.42	269.04	39583235	39583235	6.42	2.44	266.6225	January 14, 22	0.0244
2022-01-18	262.6	266.38	257.7	259.03	258.66	42530617	42530617	-3.57	-1.36	261.4275	January 18, 22	-0.0136
2022-01-19	260.79	265.43	250.52	250.67	250.31	48831451	48831451	-10.12	-3.88	256.8525	January 19, 22	-0.0388
2022-01-20	253.04	255.79	240.78	241.5	241.16	43518073	43518073	-11.54	-4.56	247.7775	January 20, 22	-0.0456
2022-01-21	235.07	248.23	232.63	233.74	233.41	71895784	71895784	-1.33	-0.56579	237.4175	January 21, 22	-0.0056579
2022-01-24	223.3	233.8	208.88	233.72	233.39	91581063	91581063	10.42	4.67	224.925	January 24, 22	0.0467
2022-01-25	225.46	229.43	220.0	223.24	222.92	66461636	66461636	-2.22	-0.98465	224.5325	January 25, 22	-0.0098465
2022-01-26	232.4	240.57	223.0	227.72	227.4	75595873	75595873	-4.68	-2.01	230.9225	January 26, 22	-0.0201
2022-01-27	235.68	239.95	216.75	219.44	219.13	57335272	57335272	-16.24	-6.89	227.955	January 27, 22	-0.0689
2022-01-28	220.12	228.58	212.96	228.4	228.07	54377425	54377425	8.28	3.76	222.515	January 28, 22	0.0376
2022-01-31	231.82	245.09	230.52	244.86	244.51	56467968	56467968	13.04	5.63	238.0725	January 31, 22	0.0563
2022-02-01	251.04	251.45	238.9	246.38	246.03	51892517	51892517	-4.66	-1.86	246.9425	February 01, 22	-0.0186
2022-02-02	257.94	258.17	245.53	252.42	252.06	54341941	54341941	-5.52	-2.14	253.515	February 02, 22	-0.0214
2022-02-03	244.58	250.77	237.8	239.48	239.14	41017778	41017778	-5.1	-2.09	243.1575	February 03, 22	-0.0209
2022-02-04	239.72	246.35	236.32	243.19	242.84	35482850	35482850	3.47	1.45	241.395	February 04, 22	0.0145
2022-02-07	243.72	251.82	242.02	247.28	246.93	37686750	37686750	3.56	1.46	246.21	February 07, 22	0.0146
2022-02-08	243.59	252.3	239.8	251.08	250.72	41035864	41035864	7.49	3.07	246.6925	February 08, 22	0.0307
2022-02-09	256.22	267.25	253.53	267.05	266.67	52428166	52428166	10.83	4.23	261.0125	February 09, 22	0.0423
2022-02-10	259.95	269.25	256.0	258.24	257.87	51319972	51319972	-1.71	-0.65782	260.86	February 10, 22	-0.0065782
2022-02-11	259.16	261.52	237.73	239.49	239.15	60547198	60547198	-19.67	-7.59	249.475	February 11, 22	-0.0759
2022-02-14	239.34	248.75	237.55	242.67	242.32	44042443	44042443	3.33	1.39	242.0775	February 14, 22	0.0139
2022-02-15	249.49	265.45	247.84	264.95	264.57	70175280	70175280	15.46	6.2	256.9325	February 15, 22	0.062
2022-02-16	262.59	265.82	255.52	265.11	264.73	73267633	73267633	2.52	0.95967	262.26	February 16, 22	0.0095967
2022-02-17	256.3	257.85	241.65	245.07	244.72	81059508	81059508	-11.23	-4.38	250.2175	February 17, 22	-0.0438
2022-02-18	246.68	249.86	231.0	236.42	236.08	76125491	76125491	-10.26	-4.16	240.99	February 18, 22	-0.0416
2022-02-22	230.35	240.64	230.0	233.9	233.57	63342244	63342244	3.55	1.54	233.7225	February 22, 22	0.0154
2022-02-23	238.02	241.55	223.01	223.87	223.55	56651077	56651077	-14.15	-5.94	231.6125	February 23, 22	-0.0594
2022-02-24	210.15	238.0	208.9	237.48	237.14	73580063	73580063	27.33	13.0	223.6325	February 24, 22	0.13
2022-02-25	237.21	242.17	233.81	241.57	241.23	52886551	52886551	4.36	1.84	238.69	February 25, 22	0.0184
2022-02-28	239.92	246.65	237.07	243.85	243.5	47731861	47731861	3.93	1.64	241.8725	February 28, 22	0.0164
2022-03-01	242.91	243.77	231.32	234.77	234.44	41205598	41205598	-8.14	-3.35	238.1925	March 01, 22	-0.0335
2022-03-02	237.56	244.09	234.15	242.2	241.9	38964185	38964185	4.64	1.95	239.5	March 02, 22	0.0195
